comment_id,author,author_channel_id,text,like_count,published_at,updated_at,cleaned_text,original_length,cleaned_length,sentiment_label,sentiment_confidence,sentiment_prediction,prob_negative,prob_neutral,prob_positive
UgwY2mw_9rBeeNErRyJ4AaABAg,@sevenuzze,UCFG3aY1lbuS6ib_wnHEAc5Q,Più complicato non si poteva? Idioti!,0,2025-06-02T08:19:38Z,2025-06-02T08:19:38Z,Più complicato non si poteva? Idioti!,37,37,Neutral,0.49171721935272217,1,0.46484169363975525,0.49171721935272217,0.04344112053513527
UgwNsvbhkZPEc6EJnBB4AaABAg,@julieking1435,UCTD4ssCrNKHXbubjfsVBITA,Just put a bloody cleaning button on it....I never get it to clean first go....takes me about 5 times!,0,2025-05-30T03:52:34Z,2025-05-30T03:52:34Z,Just put a bloody cleaning button on it....I never get it to clean first go....takes me about 5 times!,102,102,Negative,0.9370858669281006,0,0.9370858669281006,0.0554557666182518,0.007458371110260487
UgznDgd4DOx_TGTR2hR4AaABAg,@mixalis11111,UC4dtArxg3ulnH3sp33fgohA,"Horrible instructional video as you have to guess many times what to do next. The video misses to pinpoint/emphasize what to expect after pushing the button (which is  so easy & logical to just show and avoid missteps). It should be a very, very simple process but the (brit) demonstrator added so many questions while following the video . We have had nothing but trouble with our machine (error codes) and plan to get rid of it (this brand) - the coffee quality this machine makes is very good but when it is working. Judging from the short 1-yr warranty that comes with the machine, we realize how expensive each cup of coffee ends up being (not to include the downtime & frustration). Also, the pods are SUPER-expensive compared to other machines' alternatives (for same coffee brewing quality). For sure, this company have excelled in one part of their business: impeccable marketing!.... but that does not add value to the product or customers' life quality (imho).",0,2025-05-29T15:33:31Z,2025-05-29T15:33:31Z,"Horrible instructional video as you have to guess many times what to do next. The video misses to pinpoint/emphasize what to expect after pushing the button (which is so easy & logical to just show and avoid missteps). It should be a very, very simple process but the (brit) demonstrator added so many questions while following the video . We have had nothing but trouble with our machine (error codes) and plan to get rid of it (this brand) - the coffee quality this machine makes is very good but when it is working. Judging from the short 1-yr warranty that comes with the machine, we realize how expensive each cup of coffee ends up being (not to include the downtime & frustration). Also, the pods are SUPER-expensive compared to other machines' alternatives (for same coffee brewing quality). For sure, this company have excelled in one part of their business: impeccable marketing!.... but that does not add value to the product or customers' life quality (imho).",971,970,Negative,0.8471925854682922,0,0.8471925854682922,0.13559399545192719,0.017213400453329086
UgwGOpV_hiWjCkv1u5l4AaABAg,@kremlarsen3983,UC4s0GTFxDyITR8qE9nHhhNg,"I just took my new machine out of the box, an pressed the button three times as instructed. It rinsed through all the water in the container, but did not signal with a white light that it had finished rinsing. Instead it blinked red light to tell me that the water container is empty. Is this normal?",0,2025-05-26T11:56:42Z,2025-05-26T11:56:42Z,"I just took my new machine out of the box, an pressed the button three times as instructed. It rinsed through all the water in the container, but did not signal with a white light that it had finished rinsing. Instead it blinked red light to tell me that the water container is empty. Is this normal?",300,300,Neutral,0.6435043215751648,1,0.30547934770584106,0.6435043215751648,0.05101636052131653
UgzeXSelTVLuObwtCf14AaABAg,@ktom,UCugDBAll0jwAthUaeZzQGLA,Nice to see Kurzgesagt getting into the coffee game 🐦‍,1,2025-05-22T20:09:06Z,2025-05-22T20:09:06Z,Nice to see Kurzgesagt getting into the coffee game ‍,54,53,Positive,0.9551659226417542,2,0.0030382389668375254,0.04179583489894867,0.9551659226417542
UgxKGip-_2KtOR7zUoh4AaABAg,@ramong26,UCQye_QAIcLtyf4hMH0hCNHw,"Instructions from me to Nespresso, add a freaking descaling button. Press once. Issue solved.",0,2025-05-21T15:19:51Z,2025-05-21T15:19:51Z,"Instructions from me to Nespresso, add a freaking descaling button. Press once. Issue solved.",93,93,Neutral,0.4779127836227417,1,0.2600419819355011,0.4779127836227417,0.262045294046402
UgyR2F6VnpfGcS-35lh4AaABAg,@spartanGTA6,UCeAprMuT4efhc5V_UozwbDA,"Hey Nespresso. Great product. Got this recently as a b'day present. Quick question pls, how often am I supposed to clean / descale? Everyday after i finish using it or once a week or other 😅",0,2025-05-15T20:48:40Z,2025-05-15T20:48:40Z,"Hey Nespresso. Great product. Got this recently as a b'day present. Quick question pls, how often am I supposed to clean / descale? Everyday after i finish using it or once a week or other",190,188,Positive,0.9423921704292297,2,0.006181307602673769,0.0514264740049839,0.9423921704292297
UgzWVTLMraECmNlRQU94AaABAg,@vanessam.v2779,UCOkEKQZR7Tkcqyi-qXH2X9w,wow only 432 steps?!  so simple,0,2025-05-14T15:15:13Z,2025-05-14T15:15:13Z,wow only 432 steps?! so simple,31,30,Positive,0.9139627814292908,2,0.017164748162031174,0.06887243688106537,0.9139627814292908
Ugx7Vrvc6XSCYQ9qJCF4AaABAg,@bannermanfamilyfmailly-l8l,UCmuBtP1U_p33MY7cwF6YPYg,This is insanley complex and hasnt worked for me at all,1,2025-05-03T18:27:45Z,2025-05-03T18:27:45Z,This is insanley complex and hasnt worked for me at all,55,55,Negative,0.9042259454727173,0,0.9042259454727173,0.08547736704349518,0.01029678713530302
Ugz1kdy3P9exTDv-UCt4AaABAg,@susannahbennett6562,UCjTHQM1aRV8k2-WG_gVxl2w,I also used natural white vinegar instead of chemical based descale solution . The video and read along transcript was excellent.  Fabulous coffee. Love my Vertuo Pop machine.  ❤,4,2025-04-26T18:54:17Z,2025-04-26T18:54:17Z,I also used natural white vinegar instead of chemical based descale solution . The video and read along transcript was excellent. Fabulous coffee. Love my Vertuo Pop machine.,178,174,Positive,0.9806411266326904,2,0.003670099191367626,0.015688804909586906,0.9806411266326904
